ID:	101261
Title:	さらざんまい
Title:	Sarazanmai
Tag:	Guns
Tag:	Slapstick
Tag:	Satire
Tag:	Meta
Tag:	Episodic
Tag:	Crime
Tag:	Tragedy
Tag:	Boys' Love
Tag:	Shapeshifting
Tag:	Surreal Comedy
Tag:	Coming of Age
Tag:	Youkai
Tag:	Primarily Teen Cast
Tag:	Philosophy
Tag:	Bisexual
Tag:	Zombie
Tag:	LGBTQ+ Themes
Tag:	Crossdressing
Tag:	Idol
Tag:	Tanned Skin
Tag:	Police
Tag:	Drugs
Tag:	Henshin
Tag:	Cute Boys Doing Cute Things
Tag:	Delinquents
Tag:	Male Protagonist
Tag:	Primarily Male Cast
Tag:	Football
Tag:	Nudity
Tag:	Suicide
Tag:	Musical Theater
Tag:	Urban Fantasy
