ID:	150672
Title:	Oshi No Ko
Title:	Oshi no Ko
Title:	[Oshi no Ko]
Title:	【推しの子】
Tag:	Ensemble Cast
Tag:	Otaku Culture
Tag:	Reincarnation
Tag:	School
Tag:	Orphan
Tag:	Bullying
Tag:	Detective
Tag:	Filmmaking
Tag:	Coming of Age
Tag:	Time Skip
Tag:	Male Protagonist
Tag:	Incest
Tag:	Family Life
Tag:	Heterosexual
Tag:	Primarily Female Cast
Tag:	Fake Relationship
Tag:	Female Protagonist
Tag:	Twins
Tag:	Female Harem
Tag:	Love Triangle
Tag:	Suicide
Tag:	Acting
Tag:	Seinen
Tag:	Revenge
Tag:	Urban
Tag:	Tragedy
Tag:	Anti-Hero
Tag:	Age Regression
Tag:	Idol
Related:	86082
Related:	166531
Related:	117195
Related:	164117
Related:	87925
Related:	74361
