ID:	21311
Title:	Bungou Stray Dogs
Title:	文豪ストレイドッグス
Title:	Bungo Stray Dogs
Tag:	Ensemble Cast
Tag:	Yakuza
Tag:	Primarily Male Cast
Tag:	Orphan
Tag:	Detective
Tag:	Henshin
Tag:	Male Protagonist
Tag:	Super Power
Tag:	Incest
Tag:	Gangs
Tag:	Shapeshifting
Tag:	Episodic
Tag:	Classic Literature
Tag:	Slapstick
Tag:	Guns
Tag:	Work
Tag:	Assassins
Tag:	Anti-Hero
Tag:	Kuudere
Tag:	Gore
Tag:	Primarily Adult Cast
Tag:	Homeless
Tag:	Suicide
Tag:	Bar
Tag:	Urban Fantasy
Tag:	Mafia
Tag:	Crime
Tag:	Seinen
Tag:	Terrorism
Tag:	Urban
Tag:	Tragedy
Tag:	LGBTQ+ Themes
Related:	24352
Related:	43457
Related:	11047
Related:	10443
Related:	46284
Related:	21679
Related:	98384
Related:	97204
Related:	120150
Related:	85307
