11/14/1997,19.25,
11/17/1997,19.30,
11/18/1997,18.93,
11/19/1997,19.45,
11/20/1997,19.42,
11/21/1997,20.38,
11/24/1997,20.35,
11/25/1997,20.00,
11/26/1997,20.76,
11/28/1997,20.61,
12/1/1997,20.90,
12/2/1997,20.18,
12/3/1997,20.18,
12/4/1997,19.89,
12/5/1997,19.86,
12/8/1997,19.94,
12/9/1997,19.80,
12/10/1997,19.87,
12/11/1997,19.54,
12/12/1997,18.87,
12/15/1997,19.65,
12/16/1997,19.94,
12/17/1997,19.52,
12/18/1997,19.13,
12/19/1997,19.77,
12/22/1997,19.16,
12/23/1997,19.67,
12/24/1997,19.19,
12/26/1997,19.42,
12/29/1997,19.80,
12/30/1997,20.18,
12/31/1997,20.76,
1/2/1998,20.47,
1/5/1998,20.87,
1/6/1998,20.41,
1/7/1998,20.21,
1/8/1998,20.85,
1/9/1998,20.23,
1/12/1998,20.35,
1/13/1998,20.26,
1/14/1998,20.15,
1/15/1998,20.00,
1/16/1998,20.70,
1/20/1998,21.17,
1/21/1998,20.70,
1/22/1998,20.76,
1/23/1998,20.18,
1/26/1998,19.60,
1/27/1998,20.26,
1/28/1998,20.12,
1/29/1998,20.21,
1/30/1998,20.18,
2/2/1998,20.53,
2/3/1998,20.79,
2/4/1998,21.34,
2/5/1998,21.17,
2/6/1998,21.69,
2/9/1998,20.79,
2/10/1998,20.93,
2/11/1998,20.82,
2/12/1998,21.11,
2/13/1998,21.17,
2/17/1998,21.28,
2/18/1998,21.78,
2/19/1998,21.28,
2/20/1998,21.63,
2/23/1998,22.74,
2/24/1998,22.97,
2/25/1998,23.14,
2/26/1998,23.49,
2/27/1998,22.74,
3/2/1998,23.14,
3/3/1998,23.03,
3/4/1998,23.67,
3/5/1998,23.67,
3/6/1998,24.48,
3/9/1998,25.29,
3/10/1998,25.73,
3/11/1998,25.53,
3/12/1998,25.06,
3/13/1998,25.50,
3/16/1998,25.99,
3/17/1998,26.02,
3/18/1998,25.76,
3/19/1998,26.31,
3/20/1998,27.07,
3/23/1998,25.85,
