ID:	4654
Title:	とある魔術の禁書目録
Title:	Toaru Majutsu no Index
Title:	A Certain Magical Index
Tag:	Male Protagonist
Tag:	Super Power
Tag:	Urban Fantasy
Tag:	Kuudere
Tag:	Gore
Tag:	Tsundere
Tag:	Amnesia
Tag:	Magic
Tag:	Artificial Intelligence
Tag:	Urban
Tag:	Female Harem
Tag:	Nun
Tag:	Netorare
Tag:	Slapstick
Related:	5955
Related:	6213
Related:	42854
Related:	59945
Related:	8937
Related:	8799
Related:	104463
Related:	37775
Related:	51443
Related:	125268
Related:	51445
Related:	58453
Related:	4926
Related:	4927
