ID:	32
Title:	新世紀エヴァンゲリオン劇場版 Air/まごころを、君に
Title:	Neon Genesis Evangelion: The End of Evangelion
Title:	Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni
Title:	"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni"
Tag:	Clone
Tag:	Body Horror
Tag:	Space
Tag:	Robots
Tag:	Psychosexual
Tag:	Politics
Tag:	Conspiracy
Tag:	Mythology
Tag:	Post-Apocalyptic
Tag:	Coming of Age
Tag:	Afterlife
Tag:	Male Protagonist
Tag:	Religion
Tag:	Meta
Tag:	Masturbation
Tag:	Guns
Tag:	Cosmic Horror
Tag:	Female Protagonist
Tag:	Dystopian
Tag:	Gore
Tag:	Super Robot
Tag:	Denpa
Tag:	Primarily Teen Cast
Tag:	Nudity
Tag:	Tsundere
Tag:	Tragedy
Tag:	Gods
Tag:	Kaiju
Tag:	Philosophy
Related:	61219
Related:	2759
Related:	30
Related:	61277
Related:	94
Related:	31
