ID:	122434
Title:	The Idaten Deities Know Only Peace
Title:	Heion Sedai no Idaten-tachi
Title:	平穏世代の韋駄天達
Tag:	Body Horror
Tag:	Demons
Tag:	Military
Tag:	Virginity
Tag:	Rape
Tag:	Ensemble Cast
Tag:	Memory Manipulation
Tag:	Surreal Comedy
Tag:	Satire
Tag:	Time Skip
Tag:	Super Power
Tag:	Religion
Tag:	Hypersexuality
Tag:	Nun
Tag:	Masturbation
Tag:	War
Tag:	Slapstick
Tag:	CGI
Tag:	Gore
Tag:	Torture
Tag:	Sex Toys
Tag:	Seinen
Tag:	Nudity
Tag:	Amputation
Tag:	Tragedy
Tag:	Gods
Tag:	Anti-Hero
Tag:	Philosophy
Related:	45713
Related:	113449
