ID:	130003
Title:	Bocchi the Rock!
Title:	BOCCHI THE ROCK!
Title:	ぼっち・ざ・ろっく！
Tag:	Seinen
Tag:	Work
Tag:	Yuri
Tag:	Female Protagonist
Tag:	Primarily Teen Cast
Tag:	Rotoscoping
Tag:	Chibi
Tag:	Hikikomori
Tag:	Cute Girls Doing Cute Things
Tag:	Meta
Tag:	Surreal Comedy
Tag:	Rehabilitation
Tag:	School
Tag:	Rock Music
Tag:	Band
Tag:	Primarily Female Cast
Tag:	Slapstick
Tag:	Coming of Age
Related:	70304
Related:	53377
Related:	165253
Related:	86985
Related:	92153
Related:	111258
Related:	171099
Related:	127549
