ID:	232
Title:	Cardcaptor Sakura
Title:	カードキャプターさくら
Tag:	Boys' Love
Tag:	Love Triangle
Tag:	Fashion
Tag:	Dissociative Identities
Tag:	Martial Arts
Tag:	Primarily Child Cast
Tag:	Cute Girls Doing Cute Things
Tag:	Female Protagonist
Tag:	Family Life
Tag:	Episodic
Tag:	Time Manipulation
Tag:	Reincarnation
Tag:	Shoujo
Tag:	School
Tag:	Urban Fantasy
Tag:	Age Gap
Tag:	LGBTQ+ Themes
Tag:	Henshin
Tag:	Magic
Tag:	Heterosexual
Tag:	Coming of Age
Tag:	Agender
Tag:	Bisexual
Related:	545
Related:	546
Related:	547
Related:	548
Related:	549
Related:	2424
Related:	969
Related:	49610
Related:	98554
Related:	77520
Related:	177
Related:	2768
Related:	371
Related:	372
Related:	53654
Related:	1078
Related:	72152
Related:	30106
