"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",6.6,Preminence
Kidou Senshi Gundam: Suisei no Majo Season 2,6.6,Preminence
Durarara!!x2 Ten,6.5,Preminence
Kanojo ga Koushaku-tei ni Itta Riyuu,6.5,Preminence
Shiro Seijo to Kuro Bokushi,6.5,Preminence
Blue Lock,6.4,Preminence
Busou Renkin,6.4,Preminence
Jujutsu Kaisen 2nd Season,6.4,Preminence
Chainsaw Man,6.3,Preminence
Deca-Dence,6.3,Preminence
Durarara!!x2 Shou,6.3,Preminence
Engage Kiss,6.3,Preminence
Goblin Slayer II,6.3,Preminence
Isekai Yakkyoku,6.3,Preminence
Tomo-chan wa Onnanoko!,6.3,Preminence
Boku no Hero Academia 6,6.2,Preminence
Maken-Ki!,6.2,Preminence
Ore dake Level Up na Ken,6.2,Preminence
Tondemo Skill de Isekai Hourou Meshi,6.2,Preminence
Yuragi-sou no Yuuna-san,6.2,Preminence
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,6.1,Preminence
Dead Mount Death Play,6.1,Preminence
Kumichou Musume to Sewagakari,6.1,Preminence
Isekai Meikyuu de Harem wo,6,Preminence
Kimi ni Todoke,6,Preminence
Koukyuu no Karasu,6,Preminence
Druaga no Tou: the Aegis of URUK,5.9,Preminence
Futoku no Guild,5.9,Preminence
Isekai Nonbiri Nouka,5.9,Preminence
Kamisama ni Natta Hi,5.9,Preminence
MASHLE,5.9,Preminence
Tengoku Daimakyou,5.9,Preminence
Tokyo Majin Gakuen Kenpucho: Tou,5.9,Preminence
4-nin wa Sorezore Uso wo Tsuku,5.8,Preminence
Dead Mount Death Play Part 2,5.8,Preminence
Log Horizon: Entaku Houkai,5.8,Preminence
Niehime to Kemono no Ou,5.7,Preminence
"Sentouin, Hakenshimasu!",5.7,Preminence
Dragon Quest: Dai no Daibouken (2020),5.6,Preminence
Kurau Phantom Memory,5.6,Preminence
Mato Seihei no Slave,5.6,Preminence
Meiji Gekken: 1874,5.6,Preminence
REVENGER,5.6,Preminence
Tate no Yuusha no Nariagari Season 3,5.6,Preminence
Ars no Kyojuu,5.5,Preminence
Kimi ni Todoke 2ND SEASON,5.5,Preminence
Ragna Crimson,5.5,Preminence
Shinobi no Ittoki,5.5,Preminence
SHY,5.5,Preminence
Edomae Elf,5.4,Preminence
Kakkou no Iinazuke,5.4,Preminence
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",5.3,Preminence
Megami no Café Terrace,5.3,Preminence
Soredemo Ayumu wa Yosetekuru,5.3,Preminence
TRIGUN STAMPEDE,5.3,Preminence
Renai Flops,5.2,Preminence
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,5.2,Preminence
Do It Yourself!!,5.1,Preminence
Sasaki to Pii-chan,5,Preminence
Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,5,Preminence
Kekkon Yubiwa Monogatari,4.8,Preminence
Koori Zokusei Danshi to Cool na Douryou Joshi,4.8,Preminence
Nokemono-tachi no Yoru,4.8,Preminence
Otomege Sekai wa Mob ni Kibishii Sekai desu,4.8,Preminence
Temple,4.8,Preminence
"Tensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu wo Kiwamemasu",4.8,Preminence
Urusei Yatsura (2022),4.8,Preminence
Yuusha ga Shinda!,4.7,Preminence
"Hachi-nan tte, Sore wa Nai deshou!",4.6,Preminence
Hataraku Maou-sama!!,4.6,Preminence
Jii-san Baa-san Wakagaeru,4.6,Preminence
Kaminaki Sekai no Kamisama Katsudou,4.5,Preminence
Mamahaha no Tsurego ga Motokano datta,4.5,Preminence
Isekai One Turn Kill Nee-san: Ane Douhan no Isekai Seikatsu Hajimemashita,4.4,Preminence
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,4.4,Preminence
Kikansha no Mahou wa Tokubetsu desu,4.4,Preminence
Ao no Orchestra,4.3,Preminence
Hoshi no Samidare,4.3,Preminence
Nanatsu no Taizai: Mokushiroku no Yonkishi,4.3,Preminence
Suki na Ko ga Megane wo Wasureta,4.3,Preminence
Hiiro no Kakera,4.2,Preminence
Yubisaki to Renren,4.2,Preminence
Boushoku no Berserk,4.1,Preminence
Kawaii dake ja Nai Shikimori-san,4.1,Preminence
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,4.1,Preminence
Watashi no Shiawase na Kekkon,4.1,Preminence
BUCCHIGIRI?!,4,Preminence
Kubo-san wa Mob wo Yurusanai,4,Preminence
"Maou-sama, Retry!",4,Preminence
AI no Idenshi,3.8,Preminence
Saikyou Onmyouji no Isekai Tenseiki,3.7,Preminence
Hortensia Saga,3.6,Preminence
Eiyuu Kyoushitsu,3.5,Preminence
Re:Monster,3.5,Preminence
Shinmai Renkinjutsushi no Tenpo Keiei,3.3,Preminence
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,3.2,Preminence
"Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita",3.1,Preminence
Tonikaku Kawaii Season 2,3,Preminence
Hiiro no Kakera Dai Ni Shou,2.9,Preminence
Nanatsu no Maken ga Shihai Suru,2.9,Preminence
Isekai Shoukan wa Nidome desu,2.8,Preminence
Noumin Kanren no Skill Bakka Agetetara Naze ka Tsuyoku Natta.,2.8,Preminence
Bucchigire!,2.7,Preminence
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,2.7,Preminence
MASHLE: Kami Shinkakusha Kouho Senbatsu Shiken-hen,2.6,Preminence
Saihate no Paladin,2.6,Preminence
Liar Liar,2.5,Preminence
Hametsu no Oukoku,2.3,Preminence
Otonari ni Ginga,2.3,Preminence
"Yuusha Party wo Tsuihou Sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",2.3,Preminence
Boukensha ni Naritai to Miyako ni Deteitta Musume ga S Rank ni Natteta,2.2,Preminence
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",2.2,Preminence
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita 2nd",2.2,Preminence
Momochi-san Chi no Ayakashi Ouji,1.6,Preminence
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",1.6,Preminence
